id,title,release_date,vote_count,vote_average,popularity,original_language
603692,John Wick: Chapter 4,2023-03-22,2375,8.0,6551.898,en
502356,The Super Mario Bros. Movie,2023-04-05,3875,7.8,4154.278,en
385687,Fast X,2023-05-17,663,7.1,2853.827,en
447277,The Little Mermaid,2023-05-18,344,6.1,2053.325,en
840326,Sisu,2022-10-12,512,7.5,1972.58,fi
640146,Ant-Man and the Wasp: Quantumania,2023-02-15,3046,6.5,1440.411,en
713704,Evil Dead Rise,2023-04-12,1434,7.1,1546.134,en
605886,To Catch a Killer,2023-04-06,209,7.0,1503.36,en
76600,Avatar: The Way of Water,2022-12-14,8259,7.7,1167.905,en
799379,Project Wolf Hunting,2022-09-21,136,6.5,1303.916,ko
447365,Guardians of the Galaxy Vol. 3,2023-05-03,1721,8.1,1177.572,en
594767,Shazam! Fury of the Gods,2023-03-15,1816,6.8,945.042,en
552688,The Mother,2023-05-04,657,6.8,1043.322,en
620705,Crater,2023-05-12,133,6.8,703.686,en
758323,The Pope's Exorcist,2023-04-05,1251,7.3,924.84,en
677179,Creed III,2023-03-01,1471,7.3,746.252,en
882569,Guy Ritchie's The Covenant,2023-04-19,398,7.5,864.562,en
868759,Ghosted,2023-04-18,907,7.0,667.254,en
315162,Puss in Boots: The Last Wish,2022-12-07,5627,8.3,597.169,en
1105803,Snag,2023-04-28,25,6.0,736.607,en
569094,Spider-Man: Across the Spider-Verse,2023-05-31,40,8.0,715.463,en
1094319,The Best Man,2023-04-21,52,6.0,696.982,en
842675,The Wandering Earth II,2023-01-22,234,7.2,655.818,zh
420808,Peter Pan & Wendy,2023-04-20,408,5.8,523.143,en
934433,Scream VI,2023-03-08,1291,7.3,435.722,en
1020696,Play Dead,2022-12-09,56,6.8,374.552,en
916224,Suzume,2022-11-11,406,7.9,559.577,ja
1064517,Fist of the Condor,2023-04-04,16,8.0,542.857,es
493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,1525,7.5,467.401,en
1016121,Beautiful Disaster,2023-04-04,197,6.1,444.513,en
325358,Superfast!,2015-03-05,351,5.0,369.009,en
702621,Lullaby,2022-12-16,28,5.7,340.81,en
505642,Black Panther: Wakanda Forever,2022-11-09,4908,7.3,366.123,en
920125,White Men Can't Jump,2023-05-11,102,6.4,273.053,en
436270,Black Adam,2022-10-19,4979,7.1,366.526,en
785084,The Whale,2022-12-09,2373,8.0,308.48,en
638974,Murder Mystery 2,2023-03-28,1098,6.6,364.829,en
948713,The Last Kingdom: Seven Kings Must Die,2023-04-14,402,7.3,403.608,en
977223,Polite Society,2023-04-27,40,6.8,402.402,en
1102776,AKA,2023-04-28,344,7.1,383.18,fr
1107872,Mother's Day,2023-05-24,60,5.8,382.747,pl
1121116,"Maggie Simpson in ""Rogue Not Quite One""",2023-05-04,22,5.8,316.59,en
10144,The Little Mermaid,1989-11-17,7045,7.3,307.045,en
700391,65,2023-03-02,1138,6.2,260.489,en
649609,Renfield,2023-04-07,534,6.9,366.906,en
384018,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,6399,6.9,288.802,en
667538,Transformers: Rise of the Beasts,2023-06-06,1,10.0,364.015,en
816904,Mummies,2023-01-05,305,7.2,310.801,es
507250,Dead Shot,2023-05-12,22,6.3,328.783,en
385128,F9,2021-05-19,6368,7.2,231.238,en
1087771,Nada que ver,2023-03-02,23,8.3,320.846,es
804150,Cocaine Bear,2023-02-22,1116,6.3,320.429,en
1118203,The Swan Princess: A Fairytale Is Born,2023-05-23,11,7.5,626.902,en
1037644,Battle for Saipan,2022-11-25,42,5.9,316.89,en
536554,M3GAN,2022-12-28,2673,7.3,233.0,en
458220,Palmer,2021-01-29,1014,8.0,240.225,en
283995,Guardians of the Galaxy Vol. 2,2017-04-19,19816,7.6,262.097,en
646389,Plane,2023-01-12,1259,6.9,241.254,en
168259,Furious 7,2015-04-01,9766,7.2,228.177,en
634649,Spider-Man: No Way Home,2021-12-15,17446,8.0,262.039,en
736790,Chupa,2023-04-07,244,6.5,282.492,en
879444,Accident Man: Hitman's Holiday,2022-10-14,66,6.9,551.104,en
337339,The Fate of the Furious,2017-04-12,9506,6.9,233.046,en
997776,"Justice League x RWBY: Super Heroes & Huntsmen, Part One",2023-04-25,59,7.8,286.43,en
869626,Marcel the Shell with Shoes On,2022-06-24,280,7.7,251.07,en
758009,Shotgun Wedding,2022-12-28,835,6.4,202.788,en
631842,Knock at the Cabin,2023-02-01,1489,6.4,196.465,en
298618,The Flash,2023-05-28,0,0.0,255.733,en
616037,Thor: Love and Thunder,2022-07-06,6020,6.6,194.906,en
842945,Supercell,2023-03-17,156,6.2,201.384,en
1111140,Two Sinners and a Mule,2023-04-21,25,6.4,260.116,en
946310,Pirates Down the Street II: The Ninjas from Across,2022-04-20,103,6.8,190.249,nl
675353,Sonic the Hedgehog 2,2022-04-08,3962,7.6,213.059,en
324857,Spider-Man: Into the Spider-Verse,2018-12-14,12810,8.4,290.349,en
727340,Hunt,2022-08-10,82,6.8,236.917,ko
980078,Winnie the Pooh: Blood and Honey,2023-01-27,616,5.7,236.087,en
507086,Jurassic World Dominion,2022-06-01,4865,6.8,200.444,en
931935,The Extortion,2023-04-06,55,7.7,167.755,es
1070777,One Day as a Lion,2023-04-04,20,6.1,233.534,en
324552,John Wick: Chapter 2,2017-02-08,11584,7.3,180.739,en
943822,Prizefighter: The Life of Jem Belcher,2022-06-30,131,6.3,188.428,en
876792,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022-11-25,213,7.7,228.157,ja
985939,Fall,2022-08-11,2900,7.3,216.798,en
893712,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,2022-10-22,39,7.4,224.965,ja
663712,Terrifier 2,2022-10-06,1207,6.9,186.937,en
361743,Top Gun: Maverick,2022-05-24,6906,8.3,200.322,en
1033219,Attack on Titan,2022-09-30,137,6.1,220.429,en
458156,John Wick: Chapter 3 - Parabellum,2019-05-15,9284,7.4,181.39,en
1121316,Where the Tracks End,2023-05-26,20,8.8,218.334,es
385448,The Little Mermaid,2018-08-02,798,5.0,255.406,en
676547,Prey for the Devil,2022-10-23,670,7.1,152.16,en
876969,Assassin Club,2023-02-24,64,6.6,208.783,en
785759,Two Witches,2023-03-02,61,6.5,208.149,en
1003579,Batman: The Doom That Came to Gotham,2023-03-10,92,6.6,189.902,en
455476,Knights of the Zodiac,2023-04-27,56,6.4,203.998,en
676710,The Amazing Maurice,2022-12-16,82,7.0,203.775,en
60898,Erotic Ghost Story,1990-05-19,34,6.1,202.0,cn
1041513,Encanto at the Hollywood Bowl,2022-12-28,137,7.1,159.319,en
1008005,The Communion Girl,2023-02-10,117,6.2,200.949,es
1048300,Adrenaline,2022-12-15,46,6.2,166.785,en
